DRS,GVE,Região de Saúde, município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,TOTAL
9,XIX,35093,3525805,0,0,2,2,2,4,9,11,13,25,41,57,78,108,127,156,170,173,173
16,XXXI,35163,3525854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35073,3525904,0,0,2,5,5,11,13,15,18,20,26,32,33,36,36,37,38,38,38
11,XXII,35111,3526001,0,1,3,7,10,21,40,47,63,94,116,139,194,233,260,277,282,293,293
12,XXIII,35121,3526100,0,1,2,4,8,14,32,40,54,65,76,81,86,86,86,86,86,86,86
1,X,35013,3526209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,XXXIII,35174,3526308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XVI,35063,3526407,0,0,0,0,1,1,1,8,13,17,18,22,29,38,44,56,69,78,78
2,XI,35022,3526506,0,0,1,2,4,5,10,16,20,24,27,32,34,37,39,40,46,47,47
17,XXXIII,35172,3526605,0,2,3,5,5,8,21,25,28,34,38,46,58,64,64,64,65,65,65
10,XX,35101,3526704,0,0,1,1,4,7,11,13,20,24,33,36,40,47,51,64,88,94,94
6,XV,35062,3526803,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
10,XX,35102,3526902,21,49,77,139,195,275,380,456,547,676,780,845,899,953,984,1014,1042,1047,1047
7,XVII,35074,3527009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35065,3527108,2,4,14,31,60,109,147,189,252,306,343,380,453,519,574,622,659,664,664
17,XXXIII,35172,3527207,48,157,338,638,991,1472,1973,2252,2491,2808,2972,3009,3028,3043,3069,3070,3072,3072,3072
2,XI,35023,3527256,0,0,0,0,0,0,1,2,2,3,3,5,16,16,21,32,44,48,48
7,XVII,35073,3527306,0,0,1,2,2,2,2,3,3,4,4,4,5,5,7,9,10,11,11
9,XIX,35091,3527405,65,144,187,271,360,468,556,614,657,688,702,705,712,717,721,723,724,725,725
6,XV,35062,3527504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,XXIV,35132,3527603,7,15,34,50,67,97,123,129,141,168,186,198,207,224,236,252,262,268,268
2,XI,35023,3527702,0,1,2,20,42,75,100,111,129,145,148,153,157,159,159,159,159,159,159
9,XIX,35093,3527801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIII,35092,3527900,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3
6,XV,35062,3528007,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
15,XXIX,35157,3528106,1,1,1,1,1,4,5,5,6,6,7,7,7,7,7,8,9,11,11
15,XXX,35154,3528205,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,4,4,4,4
15,XXIX,35157,3528304,0,0,0,0,1,2,5,6,7,8,10,10,10,11,11,11,11,11,11
16,XXXI,35163,3528403,1,1,1,1,1,2,4,5,5,8,9,10,13,15,16,18,19,19,19
1,IX,35012,3528502,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6,XVI,35061,3528601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXII,35114,3528700,0,1,2,3,3,3,5,5,6,7,9,10,12,14,14,15,15,15,15
9,XIII,35092,3528809,11,26,48,98,142,186,258,304,332,366,380,389,399,403,409,416,420,420,420
15,XXIX,35151,3528858,0,0,0,2,2,3,4,4,6,7,7,9,10,10,10,10,10,10,10
9,XIX,35091,3528908,0,1,3,6,20,34,53,71,96,121,150,160,171,179,198,204,209,214,214
9,XIX,35093,3529005,16,51,93,157,198,261,309,363,416,477,527,591,676,786,880,969,1044,1065,1065
15,XXX,35153,3529104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35112,3529203,49,99,179,258,343,484,656,692,789,864,905,932,959,977,981,987,995,1001,1001
3,XII,35033,3529302,1,2,2,2,2,2,2,3,8,10,11,11,12,13,15,18,19,20,20
1,VII,35015,3529401,1,4,5,6,6,8,8,8,8,8,9,9,9,11,11,11,11,11,11
15,XXIX,35156,3529500,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
15,XXX,35154,3529609,0,0,0,1,3,8,13,16,18,24,29,32,56,90,109,135,150,170,170
15,XXX,35153,3529658,0,0,0,0,0,3,6,6,15,20,28,37,49,62,68,80,83,86,86
8,XVIII,35083,3529708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35064,3529807,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2
12,XXIII,35121,3529906,0,0,0,1,1,1,1,2,2,5,8,11,11,13,15,17,20,20,20
15,XXX,35154,3530003,0,1,1,3,4,6,11,18,21,26,33,36,42,49,51,54,56,56,56
2,XI,35022,3530102,4,16,50,92,164,229,319,412,503,593,662,722,763,794,821,848,855,861,861
11,XXII,35115,3530201,1,3,4,9,12,21,28,42,53,70,84,91,98,111,121,128,131,131,131
15,XXIX,35155,3530300,0,2,3,5,10,14,17,21,26,30,36,39,41,44,47,51,56,57,57
15,XXIX,35155,3530409,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4
14,XXVI,35143,3530508,130,319,529,767,1028,1270,1531,1713,1908,2101,2216,2264,2285,2307,2327,2345,2349,2349,2349
1,VIII,35011,3530607,0,3,6,9,9,10,10,12,14,14,15,15,17,17,18,18,18,18,18
14,XXVI,35141,3530706,8,19,47,81,126,205,287,338,434,555,670,725,775,850,922,977,1036,1063,1063
14,XXVI,35141,3530805,36,121,227,368,517,653,852,995,1166,1362,1494,1612,1745,1825,1873,1903,1931,1935,1935
10,XX,35103,3530904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35157,3531001,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,4,6,8,8
4,XXV,35041,3531100,0,0,0,0,0,0,4,5,7,7,7,7,7,9,9,10,11,13,13
7,XVII,35074,3531209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,XXIV,35131,3531308,2,3,5,6,15,25,39,52,67,82,95,103,115,132,144,150,159,164,164
15,XXIX,35156,3531407,2,5,7,10,11,16,18,19,22,24,29,32,35,38,42,43,47,47,47
5,XIV,35052,3531506,0,1,1,4,5,5,5,5,5,6,6,6,9,11,13,14,15,15,15
11,XXII,35111,3531605,1,5,15,40,85,143,170,197,224,231,238,244,251,255,256,258,259,259,259
17,XXVII,35171,3531704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35072,3531803,0,3,3,6,6,10,16,25,28,38,46,54,59,80,96,120,131,135,135
8,XVIII,35082,3531902,1,1,1,1,3,5,6,8,10,10,11,11,11,12,14,20,26,27,27
7,XVII,35072,3532009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,XII,35031,3532058,0,0,0,0,1,1,1,1,1,1,4,5,6,6,6,6,8,9,9
2,XI,35022,3532108,0,0,1,1,2,2,4,4,5,5,6,7,9,12,13,13,13,13,13
11,XXI,35113,3532157,0,0,0,2,2,9,19,27,49,86,109,127,148,163,170,175,175,175,175
11,XXI,35112,3532207,1,2,5,9,13,18,21,27,35,47,61,75,92,97,109,118,120,120,120
17,XXXIII,35174,3532306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35071,3532405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
15,XXIX,35155,3532504,0,5,5,5,5,5,5,5,6,6,6,6,6,6,9,9,9,9,9
15,XXIX,35157,3532603,1,2,2,6,9,15,17,25,32,41,58,63,81,92,113,161,209,249,249
15,XXIX,35156,3532702,2,3,5,8,10,12,15,15,18,19,22,22,22,22,22,22,22,22,22
15,XXIX,35155,3532801,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
16,XXXII,35162,3532827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXX,35152,3532843,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
2,XI,35021,3532868,0,0,0,0,1,2,5,5,6,9,9,9,9,13,17,19,21,23,23
3,XII,35032,3532900,0,1,2,3,4,6,9,11,14,17,23,26,28,28,31,34,35,35,35
15,XXIX,35155,3533007,0,0,0,3,12,17,20,28,31,38,39,41,43,49,54,59,66,72,72
11,XXII,35111,3533106,0,0,0,2,2,2,2,2,3,4,6,14,20,28,32,36,37,41,41
2,XI,35022,3533205,0,0,0,1,1,1,1,1,2,6,7,7,9,11,12,13,13,15,15
15,XXIX,35151,3533254,4,14,32,57,76,84,84,85,85,85,85,85,85,85,85,85,85,85,85
2,XI,35021,3533304,0,0,1,2,2,2,2,4,5,9,12,20,39,46,51,61,71,74,74
7,XVII,35072,3533403,1,3,3,4,4,13,29,69,90,98,144,172,182,196,216,233,246,261,261
15,XXIX,35151,3533502,0,3,5,9,18,30,44,59,77,91,104,118,138,162,188,223,233,253,253
8,XVIII,35082,3533601,0,0,0,0,1,1,2,4,4,4,5,5,5,8,9,18,20,21,21
9,XIX,35093,3533700,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3
9,XIII,35094,3533809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,XIV,35051,3533908,0,0,0,5,7,11,13,19,22,24,24,25,27,29,32,34,36,37,37
15,XXIX,35155,3534005,0,0,2,2,6,13,20,29,35,40,50,61,73,78,80,86,91,93,93
9,XIX,35093,3534104,0,0,1,1,1,1,1,1,1,1,1,1,2,4,4,6,6,6,6
15,XXIX,35155,3534203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XVIII,35082,3534302,1,4,4,5,5,6,8,10,14,16,18,23,26,29,29,33,35,38,38
1,X,35014,3534401,2,10,28,42,57,76,104,126,144,162,177,181,187,192,199,204,208,209,209
9,XIX,35093,3534500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3
9,XIX,35091,3534609,24,73,161,263,350,452,551,585,629,706,773,815,852,882,906,914,922,929,929
9,XIII,35094,3534708,12,33,62,103,130,168,212,254,338,415,494,553,653,742,844,963,1088,1117,1117
15,XXX,35154,3534757,2,9,14,20,28,54,75,83,86,95,97,100,101,101,104,106,106,106,106
11,XXII,35111,3534807,7,30,74,136,266,390,475,518,551,581,603,618,625,633,643,649,652,652,652
9,XIX,35091,3534906,1,1,3,6,12,22,36,42,50,66,72,76,83,87,94,96,104,113,113
15,XXIX,35155,3535002,0,0,1,1,1,2,2,6,8,12,13,16,16,20,22,23,23,23,23
15,XXIX,35151,3535101,9,34,86,142,206,292,371,420,450,468,494,505,514,515,515,515,516,517,517
15,XXX,35153,3535200,0,0,0,0,0,1,5,8,8,13,20,22,22,22,22,23,24,27,27
9,XIII,35092,3535309,11,31,77,166,278,416,538,670,819,914,924,925,926,954,1007,1039,1041,1042,1042
11,XXII,35111,3535408,1,4,19,27,34,63,93,116,186,261,287,318,377,414,460,499,539,566,566
9,XIII,35092,3535507,3,9,18,39,53,106,151,185,213,247,275,293,328,347,380,411,429,432,432
17,XXVII,35171,3535606,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
15,XXIX,35151,3535705,0,0,1,1,1,2,2,2,4,5,6,6,9,10,12,13,13,14,14
6,XVI,35061,3535804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXX,35153,3535903,0,0,0,1,1,3,7,9,9,10,10,15,16,16,17,17,18,18,18
9,XIX,35095,3536000,39,107,216,347,483,619,714,747,775,801,812,823,833,838,843,847,848,850,850
6,XVI,35063,3536109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,XXIII,35121,3536208,2,4,7,9,10,13,22,38,56,76,99,110,132,165,184,214,231,258,258
15,XXIX,35157,3536257,21,58,98,155,187,212,247,263,272,277,279,282,282,284,286,286,286,286,286
8,XVIII,35081,3536307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXII,35111,3536406,6,10,21,28,51,87,121,165,224,257,283,296,314,326,347,356,373,386,386
7,XVII,35072,3536505,3,9,9,12,18,20,32,40,51,62,68,72,77,83,86,89,93,96,96
6,XV,35062,3536570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
15,XXIX,35155,3536604,0,0,0,4,4,6,7,9,10,11,16,17,18,19,21,21,21,21,21
6,XV,35062,3536703,0,0,1,1,1,1,1,1,2,3,9,10,10,14,15,18,20,21,21
7,XVII,35071,3536802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXX,35154,3536901,0,0,0,1,4,5,8,12,13,13,15,16,20,23,24,24,25,26,26
8,XVIII,35081,3537008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35072,3537107,0,2,3,3,3,3,3,4,12,15,26,34,41,42,45,49,50,50,50
9,XIII,35092,3537156,0,0,0,0,0,1,2,4,5,7,10,10,11,13,13,13,13,14,14
12,XXIII,35121,3537206,0,0,2,2,2,2,2,3,5,5,7,7,7,9,9,9,9,9,9
2,XI,35023,3537305,14,22,43,92,148,193,236,272,296,327,348,367,395,411,431,445,453,456,456
2,XI,35022,3537404,0,1,2,4,7,8,9,12,18,20,22,24,29,33,43,65,69,69,69
6,XVI,35063,3537503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,XXV,35041,3537602,2,8,15,27,39,53,60,70,84,105,119,128,130,134,137,142,145,145,145
2,XI,35023,3537701,12,61,108,163,223,278,327,327,327,327,327,327,327,328,328,329,329,329,329
16,XXXI,35163,3537800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XXXI,35163,3537909,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3
17,XXXIII,35174,3538006,6,17,20,56,80,144,246,318,425,529,616,729,885,1024,1140,1239,1283,1308,1308
15,XXIX,35151,3538105,4,15,30,49,67,95,124,139,155,160,169,181,195,210,226,239,246,247,247
7,XVII,35071,3538204,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
11,XXII,35114,3538303,0,0,2,3,9,18,25,29,30,35,35,35,35,35,35,35,35,36,36
17,XXXIII,35172,3538501,0,1,2,3,6,6,21,29,39,49,55,55,57,59,59,60,62,62,62
7,XVII,35071,3538600,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3
10,XX,35103,3538709,10,34,48,80,120,179,249,307,376,448,498,530,583,643,689,729,761,780,780
6,XVI,35061,3538808,0,0,0,0,0,0,0,1,1,3,3,3,4,4,4,5,5,5,5
6,XV,35062,3538907,0,0,0,0,2,2,2,3,4,4,5,5,5,6,6,6,6,6,6
15,XXIX,35151,3539004,0,3,5,8,11,14,16,17,22,29,39,40,41,42,43,43,44,44,44
1,X,35014,3539103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35112,3539202,0,1,5,9,13,30,61,82,121,158,189,230,296,367,442,508,551,579,579
10,XX,35101,3539301,12,28,56,94,138,181,256,315,375,432,473,502,536,581,602,613,627,630,630
6,XV,35062,3539400,0,0,1,1,1,1,2,2,3,4,4,4,5,5,5,5,5,5,5
13,XXIV,35131,3539509,0,0,0,0,5,8,10,16,19,19,22,28,36,37,37,41,45,46,46
15,XXIX,35156,3539608,0,0,0,0,0,0,0,1,2,4,6,11,14,16,18,20,22,24,24
9,XIII,35092,3539707,0,0,0,0,0,2,2,3,4,4,6,9,12,12,12,13,13,13,13
1,VIII,35011,3539806,1,2,2,2,2,3,4,4,6,6,6,6,6,7,7,7,7,7,7
15,XXIX,35156,3539905,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4
9,XIX,35093,3540002,1,6,13,20,31,46,57,66,68,72,78,86,94,96,100,101,101,101,101
6,XV,35065,3540101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,XXIV,35131,3540200,0,0,8,13,19,22,22,25,33,41,50,60,71,77,90,100,106,110,110
15,XXX,35153,3540259,37,58,87,117,138,152,168,175,178,178,178,178,178,179,179,179,179,179,179
15,XXIX,35157,3540309,2,3,5,10,13,17,22,23,28,29,33,33,35,36,36,36,36,36,36
15,XXX,35154,3540408,3,9,12,16,36,49,57,61,73,78,79,80,81,81,81,81,81,81,81
6,XVI,35063,3540507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XXXI,35163,3540606,0,0,0,0,0,0,0,2,3,3,3,3,4,5,8,9,16,17,17
3,XII,35034,3540705,4,7,8,9,14,19,22,24,35,39,43,44,50,54,61,68,78,79,79
17,XXXIII,35172,3540754,487,931,1211,1462,1607,1697,1784,1851,1876,1910,1948,1975,1992,2003,2006,2006,2008,2009,2009
15,XXIX,35155,3540804,1,1,1,1,1,1,2,4,7,8,11,12,17,19,23,27,27,27,27
9,XIX,35091,3540853,0,0,2,3,5,8,12,13,16,19,21,28,36,40,42,42,42,42,42
13,XXIV,35131,3540903,5,6,6,7,8,10,12,13,17,21,22,23,25,25,27,29,30,32,32
4,XXV,35041,3541000,0,1,1,1,2,4,4,4,5,6,7,7,7,8,8,8,8,8,8
6,XVI,35063,3541059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35062,3541109,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
11,XXI,35112,3541208,3,7,13,20,32,56,88,122,162,201,225,249,271,302,319,346,363,374,374
11,XXII,35114,3541307,64,190,351,490,612,735,823,860,887,914,922,925,928,928,929,930,930,931,931
11,XXI,35112,3541406,16,42,87,146,247,394,535,722,995,1365,1661,1934,2217,2539,2785,2972,3133,3239,3239
11,XXII,35114,3541505,18,53,114,169,222,279,323,345,374,392,407,419,429,441,449,461,474,478,478
6,XV,35065,3541604,0,0,0,1,2,6,8,11,12,14,17,21,25,27,31,31,31,31,31
16,XXXI,35161,3541653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35113,3541703,4,11,34,54,75,111,158,198,247,278,300,309,321,332,350,365,373,375,375
9,XIX,35095,3541802,2,15,31,49,65,89,115,130,137,142,144,147,149,150,150,151,152,152,152
17,XXXIII,35172,3541901,0,0,0,0,0,3,4,5,7,13,15,21,26,30,35,41,45,50,50
9,XIX,35093,3542008,0,0,0,1,1,2,4,5,5,9,9,12,17,18,20,24,26,27,27
10,XX,35103,3542107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35113,3542206,74,215,346,480,600,822,938,1039,1135,1217,1304,1359,1417,1464,1506,1555,1595,1615,1615
17,XXXIII,35174,3542305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35112,3542404,1,1,2,4,6,13,18,20,40,67,89,115,137,166,216,241,261,284,284
6,XV,35062,3542503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,XXIII,35121,3542602,5,13,25,46,66,90,130,181,233,288,322,361,404,442,464,466,467,472,472
8,XVIII,35081,3542701,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
16,XXXII,35162,3542800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,XII,35034,3542909,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,XXXII,35162,3543006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XVIII,35081,3543105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIII,35094,3543204,0,0,0,0,1,1,2,2,2,2,6,7,8,15,22,34,38,42,42
11,XXI,35112,3543238,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
16,XXXI,35161,3543253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,VII,35015,3543303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,XXIV,35132,3543402,219,586,1207,2068,3202,4732,6259,7677,9013,10422,11689,12521,13037,13453,13812,14066,14237,14362,14362
16,XXXII,35162,3543501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XVIII,35081,3543600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,XII,35031,3543709,0,0,0,0,0,2,7,8,8,10,10,12,12,12,12,13,13,13,13
9,XIX,35095,3543808,73,185,336,440,514,590,640,674,694,702,703,708,709,710,710,710,710,710,710
10,XX,35104,3543907,4,26,42,67,85,114,152,179,223,264,310,362,419,487,566,605,643,667,667
10,XX,35103,3544004,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5
1,VII,35015,3544103,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
15,XXIX,35157,3544202,0,0,1,2,4,7,8,11,11,12,16,17,18,19,20,21,22,23,23
11,XXII,35115,3544251,2,4,15,25,34,66,111,137,188,249,309,360,420,470,513,551,570,570,570
17,XXXIII,35172,3544301,2,4,8,17,21,30,40,51,64,69,76,78,79,80,83,83,88,89,89
2,XI,35021,3544400,5,11,12,15,15,19,22,25,26,32,36,39,44,50,52,56,61,63,63
15,XXX,35152,3544509,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5,5
6,XV,35065,3544608,0,5,12,24,33,76,114,141,174,191,206,211,219,224,230,234,234,234,234
9,XIX,35091,3544707,0,11,33,65,97,160,215,253,295,311,312,312,312,312,312,312,312,312,312
15,XXIX,35151,3544806,0,0,0,2,2,3,4,5,5,6,7,9,10,12,12,13,13,13,13
8,XVIII,35082,3544905,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,6,7,7,7
1,VIII,35011,3545001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIX,35091,3545100,4,11,22,51,85,125,156,184,208,211,219,223,243,252,260,264,266,266,266
10,XX,35103,3545159,0,0,2,3,3,4,5,5,7,7,8,8,8,9,9,9,9,9,9
16,XXXI,35163,3545209,0,0,0,2,3,3,4,8,10,15,18,20,28,35,41,44,48,49,49
16,XXXI,35163,3545308,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,XIII,35094,3545407,0,0,0,0,1,3,3,4,4,4,7,13,22,35,53,59,66,68,68
11,XXI,35112,3545506,0,1,2,5,9,15,22,33,42,59,73,94,118,139,156,162,163,164,164
15,XXIX,35151,3545605,1,2,6,13,21,36,49,58,77,93,104,110,123,129,139,149,157,159,159
15,XXX,35153,3545704,0,0,0,2,4,9,14,15,16,20,24,24,26,26,26,28,28,30,30
7,XVII,35072,3545803,11,28,44,68,92,116,152,190,222,301,376,435,494,551,606,654,702,752,752
17,XXVII,35171,3546009,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
15,XXX,35152,3546108,1,1,1,1,1,1,1,1,2,2,2,3,7,9,12,20,27,32,32
10,XX,35101,3546207,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,5,5
13,XXIV,35133,3546256,0,0,0,0,0,2,4,5,5,5,5,5,5,7,9,10,11,11,11
14,XXVI,35142,3546306,6,7,18,51,73,109,171,234,298,372,454,506,598,689,745,804,848,869,869
9,XIII,35094,3546405,1,1,1,1,1,2,4,4,4,8,11,11,13,14,16,16,17,17,17
3,XII,35033,3546504,2,6,12,20,33,50,76,85,97,106,111,112,114,117,119,122,124,126,126
15,XXX,35152,3546603,1,2,3,5,6,7,8,10,14,18,21,26,29,34,40,42,42,42,42
10,XX,35104,3546702,0,0,0,0,0,0,0,0,1,1,6,7,7,7,7,11,13,14,14
1,VIII,35011,3546801,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
3,XII,35031,3546900,0,0,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4
10,XX,35103,3547007,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,XXII,35111,3547106,0,0,0,1,1,4,5,6,7,8,8,10,10,10,11,11,14,15,15
15,XXX,35153,3547205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,X,35014,3547304,0,1,2,2,3,3,4,5,7,9,11,11,11,11,12,13,13,13,13
15,XXX,35152,3547403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,XXIV,35132,3547502,2,6,13,22,36,56,81,105,136,163,179,205,233,257,294,330,359,381,381
13,XXIV,35132,3547601,0,2,7,11,15,20,30,41,57,66,75,89,110,134,145,148,152,154,154
15,XXX,35153,3547650,0,0,2,2,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7
11,XXI,35112,3547700,0,1,2,3,8,21,49,72,103,131,168,192,233,265,295,317,333,338,338
1,VII,35015,3547809,0,0,0,2,2,2,3,4,4,6,6,6,6,9,9,9,9,9,9
13,XXIV,35133,3547908,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,4,4
7,XVII,35072,3548005,0,3,4,4,5,7,7,7,7,10,12,13,13,14,14,15,16,16,16
2,XI,35021,3548054,0,0,6,13,13,14,19,22,24,28,32,35,36,37,39,44,49,49,49
14,XXVI,35142,3548104,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
17,XXXIII,35174,3548203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35112,3548302,0,1,1,1,1,1,2,5,10,22,33,47,66,68,71,72,75,80,80
2,XI,35023,3548401,0,0,1,4,4,9,11,14,22,32,35,35,35,35,35,35,35,35,35
4,XXV,35041,3548500,2,4,5,7,11,17,22,29,34,41,46,49,50,52,55,55,55,55,55
17,XXXIII,35174,3548609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,VII,35015,3548708,0,0,0,0,1,2,6,7,9,11,13,13,13,13,14,16,16,16,16
1,VII,35015,3548807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,XII,35034,3548906,3,18,56,99,150,190,240,263,297,333,361,370,384,390,399,407,409,409,409
15,XXX,35153,3549003,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,5,5,5
14,XXVI,35142,3549102,12,42,82,134,191,261,372,456,530,634,715,765,818,842,849,852,860,862,862
15,XXX,35154,3549201,4,5,7,12,20,31,44,52,59,63,72,74,76,76,76,76,76,76,76
15,XXX,35154,3549250,0,2,6,9,16,26,39,53,63,66,67,70,70,70,70,70,70,70,70
11,XXII,35111,3549300,0,0,0,0,1,4,8,10,14,24,31,45,59,67,85,85,85,88,88
8,XVIII,35082,3549409,1,1,4,7,14,19,35,46,53,60,65,67,67,67,67,67,67,67,67
8,XVIII,35081,3549508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,XXXIII,35172,3549607,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4
14,XXVI,35143,3549706,3,6,9,17,23,28,30,34,37,46,58,79,103,126,155,184,196,203,203
15,XXIX,35155,3549805,92,206,384,611,940,1315,1725,2129,2529,2966,3420,3572,3667,3721,3777,3822,3843,3857,3857
17,XXVII,35171,3549904,1,2,9,13,19,26,34,43,57,81,102,119,137,164,180,200,220,228,228
1,X,35013,3549953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,XXXIII,35174,3550001,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
